net,type,accuracy,flops,memory
Resnet 56,original,93.32,122800.625,851504
GATOR FLOPs 0,zero,93.36,115816.625,777344
GATOR FLOPs 0.25,flops,93.16,107158.625,710960
GATOR FLOPs 0.5,flops,92.94,92578.625,659984
GATOR FLOPs 1,flops,93.17,77584.625,591152
GATOR FLOPs 2,flops,92.6,63454.625,525344
GATOR FLOPs 4,flops,92.34,50368.625,446432
GATOR FLOPs 8,flops,91.74,36706.625,330224
GATOR FLOPs 16,flops,91.12,20272.625,241808
GATOR memory 0,zero,,,
GATOR memory 0.25,memory,93.43,114232.625,808592
GATOR memory 0.5,memory,92.03,54291.658203125,227075
GATOR memory 1,memory,91.29,38957.826171875,111314
GATOR memory 2,memory,90.5,29853.27734375,77048
GATOR memory 4,memory,89.55,21554.607421875,47889
GATOR memory 8,memory,87.39,14901.697265625,33354
GATOR memory 16,memory,86.18,11252.29296875,29774
GATOR FLOPs direct 0.5,direct,92.88,97294.625,697424
GATOR FLOPs direct 1,direct,92.62,77404.625,595184
GATOR FLOPs direct 2,direct,92.58,60610.625,507488
GATOR FLOPs direct 4,direct,92.34,46552.625,406544
GATOR FLOPs direct 8,direct,91.54,35486.802734375,302489
GATOR FLOPs direct 16,direct,90.79,23698.3359375,216810
Geometric baseline,geo,93.59,,
Geometric 40,geo,93.49,,
