net,type,accuracy,flops,memory,removed blocks
Resnet 56,original,93.63,122800.625,851504,
Gator flops 0,zero,,,,
Gator flops 0.25,flops,93.84,102712.625,724064,
Gator flops 0.5,flops,93.52,84082.625,641120,
Gator flops 1,flops,93.58,69520.625,566240,
Gator flops 2,flops,93.14,55732.625,473504,
Gator flops 4,flops,92.69,44536.625,378608,
Gator flops 8,flops,92.44,34006.625,299984,
Gator flops 16,flops,91.5,25378.875,226512,
Gator memory 0,zero,,,,
Gator memory 0.25,memory,93.66,82012.625,487904,
Gator memory 0.5,memory,92.59,51604.8359375,212156,
Gator memory 1,memory,92,36379.0859375,103760,L3b2 l3b5 l3b6
Gator memory 2,memory,90.99,29410.5078125,77720,l3b4
Gator memory 4,memory,90.26,21186.91015625,64412,L2b5 l2b6
Gator memory 8,memory,,,,
Gator memory 16,memory,,,,
Gator flops direct 0.5,direct,93.63,88438.625,661136,
Gator flops direct 1,direct,93.03,71770.625,575024,
Gator flops direct 2,direct,92.92,57046.625,494528,
Gator flops direct 4,direct,92.31,42502.625,380624,
Gator flops direct 8,direct,91.82,31226.990234375,287900,
Gator flops direct 16,direct,90.65,19827.4609375,195490,l2b6
dcp baseline,dcp,93.8,122800.625,851504,
DCP,dcp,93.49,61708.8567839196,432235.532994924,
DCP Adapt,dcp,93.81,64973.8756613757,252671.810089021,
Geometric baseline,geo,93.59,122800.625,851504,
Geometric 40,geo,93.49,58575.898125,,
Channel Pruning baseline,cp,92.8,122800.625,851504,
Channel Pruning,cp,91.8,61400.3125,,
PCAS baseline,pcas,93.04,122800.625,851504,
PCAS,pcas,93.58,55505.8825,394246.352,
