net,type,top1,top5,flops,memory, batch 8 time, batch 32 time
resnet,original,76,92.98,76888.8163265306,25502912,14.1620635986,49.8202
resnet,our,75.91,92.9,76888.8163265306,25502912,14.1620635986,49.8202
p 0.25,flops,75.51,92.77,,,12.2091770172,41.5205955505
p 0.5,flops,74.97,92.38,38515.0653499681,20667922,11.0244750977,34.5525741577
p 1,flops,73.48,91.3,,,9.5353126526,
p 2,flops,71.96,90.74,,,7.9441070557,
p 4,flops,68.96,89.06,,,6.5712928772,
p 0.25 b8,b8,75.62,92.81,,,11.218547821,38.0403995514
p 0.5 b8,b8,74.95,92.41,,,9.5472335815,30.2412509918
p 1 b8,b8,,,,,9.0749263763,26.8216133118
p 2 b8,b8,,,,,7.3783397675,21.9159126282
p 4 b8,b8,,,,,,
P 0.25 b32,b32,,,,,,40.8191680908
P 0.5 b32,b32,,,,,,35.3858470917
P 1 b32,b32,,,,,,
PCAS,article,72.68,91.09,,,,
DCP 0.3,article,76.348,93.088,,,12.6612186432,43.511390686
DCP 0.5,article,74.88,92.192,,,10.4513168335,33.7271690369
DCP 0.7,article,72.65,91.032,,,9.8392963409,31.7614078522
channel pruning,article,,,,,,
Geometric 30,article,75.628,92.626,56149.0663265306,19328471,,
Geometric 40,article,74.988,92.402,49205.5663265306,17255909,,
Mobilenet V2,small,71.87,90.29,5994.3852040816,44015840,6.1671733856,20.7636356354
Shufflenet v2 x1,small,69.36,88.31,,,7.1513652802,7.4112415314
squeezenet 1_0,small,58.1,80.42,17688,1244448,5.0420761108,17.5218582153
squeezenet 1_1,small,58.19,80.62,7720,1231552,3.0138492584,9.8264217377
